median house value,median income,housing median age,total rooms,total bedrooms,population,households,latitude,longitude
1.5550000000000000e+005,2.1202000000000001e+000,5.2000000000000000e+001,1.2280000000000000e+003,2.9300000000000000e+002,6.4800000000000000e+002,3.0300000000000000e+002,3.7850000000000001e+001,-1.2227000000000000e+002
1.5870000000000000e+005,1.9911000000000001e+000,5.0000000000000000e+001,2.2390000000000000e+003,4.5500000000000000e+002,9.9000000000000000e+002,4.1900000000000000e+002,3.7840000000000003e+001,-1.2226000000000001e+002
1.6290000000000000e+005,2.6032999999999999e+000,5.2000000000000000e+001,1.5030000000000000e+003,2.9800000000000000e+002,6.9000000000000000e+002,2.7500000000000000e+002,3.7840000000000003e+001,-1.2227000000000000e+002
1.4750000000000000e+005,1.3577999999999999e+000,4.0000000000000000e+001,7.5100000000000000e+002,1.8400000000000000e+002,4.0900000000000000e+002,1.6600000000000000e+002,3.7850000000000001e+001,-1.2227000000000000e+002
1.5980000000000000e+005,1.7135000000000000e+000,4.2000000000000000e+001,1.6390000000000000e+003,3.6700000000000000e+002,9.2900000000000000e+002,3.6600000000000000e+002,3.7850000000000001e+001,-1.2227000000000000e+002
1.1390000000000000e+005,1.7250000000000001e+000,5.2000000000000000e+001,2.4360000000000000e+003,5.4100000000000000e+002,1.0150000000000000e+003,4.7800000000000000e+002,3.7840000000000003e+001,-1.2227000000000000e+002
9.9700000000000000e+004,2.1806000000000001e+000,5.2000000000000000e+001,1.6880000000000000e+003,3.3700000000000000e+002,8.5300000000000000e+002,3.2500000000000000e+002,3.7840000000000003e+001,-1.2227000000000000e+002
1.3260000000000000e+005,2.6000000000000001e+000,5.2000000000000000e+001,2.2240000000000000e+003,4.3700000000000000e+002,1.0060000000000000e+003,4.2200000000000000e+002,3.7840000000000003e+001,-1.2227000000000000e+002
1.0750000000000000e+005,2.4037999999999999e+000,4.1000000000000000e+001,5.3500000000000000e+002,1.2300000000000000e+002,3.1700000000000000e+002,1.1900000000000000e+002,3.7850000000000001e+001,-1.2228000000000000e+002
9.3800000000000000e+004,2.4597000000000002e+000,4.9000000000000000e+001,1.1300000000000000e+003,2.4400000000000000e+002,6.0700000000000000e+002,2.3900000000000000e+002,3.7850000000000001e+001,-1.2228000000000000e+002
1.0550000000000000e+005,1.8080000000000001e+000,5.2000000000000000e+001,1.8980000000000000e+003,4.2100000000000000e+002,1.1020000000000000e+003,3.9700000000000000e+002,3.7850000000000001e+001,-1.2228000000000000e+002
1.0890000000000000e+005,1.6424000000000001e+000,5.0000000000000000e+001,2.0820000000000000e+003,4.9200000000000000e+002,1.1310000000000000e+003,4.7300000000000000e+002,3.7840000000000003e+001,-1.2228000000000000e+002
1.3200000000000000e+005,1.6875000000000000e+000,5.2000000000000000e+001,7.2900000000000000e+002,1.6000000000000000e+002,3.9500000000000000e+002,1.5500000000000000e+002,3.7840000000000003e+001,-1.2228000000000000e+002
1.2230000000000000e+005,1.9274000000000000e+000,4.9000000000000000e+001,1.9160000000000000e+003,4.4700000000000000e+002,8.6300000000000000e+002,3.7800000000000000e+002,3.7840000000000003e+001,-1.2228000000000000e+002
1.1520000000000000e+005,1.9615000000000000e+000,5.2000000000000000e+001,2.1530000000000000e+003,4.8100000000000000e+002,1.1680000000000000e+003,4.4100000000000000e+002,3.7840000000000003e+001,-1.2228000000000000e+002
1.1040000000000000e+005,1.7968999999999999e+000,4.8000000000000000e+001,1.9220000000000000e+003,4.0900000000000000e+002,1.0260000000000000e+003,3.3500000000000000e+002,3.7840000000000003e+001,-1.2227000000000000e+002
1.0490000000000000e+005,1.3750000000000000e+000,4.9000000000000000e+001,1.6550000000000000e+003,3.6600000000000000e+002,7.5400000000000000e+002,3.2900000000000000e+002,3.7829999999999998e+001,-1.2227000000000000e+002
1.0970000000000000e+005,2.7303000000000002e+000,5.1000000000000000e+001,2.6650000000000000e+003,5.7400000000000000e+002,1.2580000000000000e+003,5.3600000000000000e+002,3.7829999999999998e+001,-1.2227000000000000e+002
9.7200000000000000e+004,1.4861000000000000e+000,4.9000000000000000e+001,1.2150000000000000e+003,2.8200000000000000e+002,5.7000000000000000e+002,2.6400000000000000e+002,3.7829999999999998e+001,-1.2227000000000000e+002
1.0450000000000000e+005,1.0972000000000000e+000,4.8000000000000000e+001,1.7980000000000000e+003,4.3200000000000000e+002,9.8700000000000000e+002,3.7400000000000000e+002,3.7829999999999998e+001,-1.2227000000000000e+002
1.0390000000000000e+005,1.4103000000000001e+000,5.2000000000000000e+001,1.5110000000000000e+003,3.9000000000000000e+002,9.0100000000000000e+002,4.0300000000000000e+002,3.7829999999999998e+001,-1.2228000000000000e+002
1.9140000000000000e+005,3.4800000000000000e+000,5.2000000000000000e+001,1.4700000000000000e+003,3.3000000000000000e+002,6.8900000000000000e+002,3.0900000000000000e+002,3.7829999999999998e+001,-1.2226000000000001e+002
1.7600000000000000e+005,2.5897999999999999e+000,5.2000000000000000e+001,2.4320000000000000e+003,7.1500000000000000e+002,1.3770000000000000e+003,6.9600000000000000e+002,3.7829999999999998e+001,-1.2226000000000001e+002
1.5540000000000000e+005,2.0977999999999999e+000,5.2000000000000000e+001,1.6650000000000000e+003,4.1900000000000000e+002,9.4600000000000000e+002,3.9500000000000000e+002,3.7829999999999998e+001,-1.2226000000000001e+002
1.5000000000000000e+005,1.2851999999999999e+000,5.1000000000000000e+001,9.3600000000000000e+002,3.1100000000000000e+002,5.1700000000000000e+002,2.4900000000000000e+002,3.7829999999999998e+001,-1.2226000000000001e+002
1.1880000000000000e+005,1.0249999999999999e+000,4.9000000000000000e+001,7.1300000000000000e+002,2.0200000000000000e+002,4.6200000000000000e+002,1.8900000000000000e+002,3.7840000000000003e+001,-1.2226000000000001e+002
1.8880000000000000e+005,3.9643000000000002e+000,5.2000000000000000e+001,9.5000000000000000e+002,2.0200000000000000e+002,4.6700000000000000e+002,1.9800000000000000e+002,3.7840000000000003e+001,-1.2226000000000001e+002
1.8440000000000000e+005,3.0125000000000002e+000,5.2000000000000000e+001,1.4430000000000000e+003,3.1100000000000000e+002,6.6000000000000000e+002,2.9200000000000000e+002,3.7829999999999998e+001,-1.2226000000000001e+002
1.8230000000000000e+005,2.6768000000000001e+000,5.2000000000000000e+001,1.6560000000000000e+003,4.2000000000000000e+002,7.1800000000000000e+002,3.8200000000000000e+002,3.7829999999999998e+001,-1.2226000000000001e+002
1.4250000000000000e+005,2.0259999999999998e+000,5.0000000000000000e+001,1.1250000000000000e+003,3.2200000000000000e+002,6.1600000000000000e+002,3.0400000000000000e+002,3.7829999999999998e+001,-1.2226000000000001e+002
1.3750000000000000e+005,1.7347999999999999e+000,4.3000000000000000e+001,1.0070000000000000e+003,3.1200000000000000e+002,5.5800000000000000e+002,2.5300000000000000e+002,3.7820000000000000e+001,-1.2227000000000000e+002
1.8750000000000000e+005,9.5060000000000000e-001,4.0000000000000000e+001,6.2400000000000000e+002,1.9500000000000000e+002,4.2300000000000000e+002,1.6000000000000000e+002,3.7820000000000000e+001,-1.2226000000000001e+002
1.1250000000000000e+005,1.7749999999999999e+000,4.0000000000000000e+001,9.4600000000000000e+002,3.7500000000000000e+002,7.0000000000000000e+002,3.5200000000000000e+002,3.7820000000000000e+001,-1.2227000000000000e+002
1.7190000000000000e+005,9.2179999999999995e-001,2.1000000000000000e+001,8.9600000000000000e+002,4.5300000000000000e+002,7.3500000000000000e+002,4.3800000000000000e+002,3.7820000000000000e+001,-1.2227000000000000e+002
9.3800000000000000e+004,1.5044999999999999e+000,4.3000000000000000e+001,1.8680000000000000e+003,4.5600000000000000e+002,1.0610000000000000e+003,4.0700000000000000e+002,3.7820000000000000e+001,-1.2227000000000000e+002
9.7500000000000000e+004,1.1108000000000000e+000,4.1000000000000000e+001,3.2210000000000000e+003,8.5300000000000000e+002,1.9590000000000000e+003,7.2000000000000000e+002,3.7820000000000000e+001,-1.2227000000000000e+002
1.0420000000000000e+005,1.2475000000000001e+000,5.2000000000000000e+001,1.6300000000000000e+003,4.5600000000000000e+002,1.1620000000000000e+003,4.0000000000000000e+002,3.7820000000000000e+001,-1.2227000000000000e+002
8.7500000000000000e+004,1.6097999999999999e+000,5.2000000000000000e+001,1.1700000000000000e+003,2.3500000000000000e+002,7.0100000000000000e+002,2.3300000000000000e+002,3.7820000000000000e+001,-1.2228000000000000e+002
8.3100000000000000e+004,1.4113000000000000e+000,5.2000000000000000e+001,9.4500000000000000e+002,2.4300000000000000e+002,5.7600000000000000e+002,2.2000000000000000e+002,3.7820000000000000e+001,-1.2228000000000000e+002
8.7500000000000000e+004,1.5057000000000000e+000,5.2000000000000000e+001,1.2380000000000000e+003,2.8800000000000000e+002,6.2200000000000000e+002,2.5900000000000000e+002,3.7820000000000000e+001,-1.2228000000000000e+002
8.5300000000000000e+004,8.1720000000000004e-001,5.2000000000000000e+001,1.4890000000000000e+003,3.3500000000000000e+002,7.2800000000000000e+002,2.4400000000000000e+002,3.7820000000000000e+001,-1.2228000000000000e+002
8.0300000000000000e+004,1.2171000000000001e+000,5.2000000000000000e+001,1.3870000000000000e+003,3.4100000000000000e+002,1.0740000000000000e+003,3.0400000000000000e+002,3.7820000000000000e+001,-1.2228000000000000e+002
6.0000000000000000e+004,2.5625000000000000e+000,2.0000000000000000e+000,1.5800000000000000e+002,4.3000000000000000e+001,9.4000000000000000e+001,5.7000000000000000e+001,3.7820000000000000e+001,-1.2229000000000001e+002
7.5700000000000000e+004,3.3929000000000000e+000,5.2000000000000000e+001,1.1210000000000000e+003,2.1100000000000000e+002,5.5400000000000000e+002,1.8700000000000000e+002,3.7829999999999998e+001,-1.2229000000000001e+002
7.5000000000000000e+004,6.1182999999999996e+000,4.9000000000000000e+001,1.3500000000000000e+002,2.9000000000000000e+001,8.6000000000000000e+001,2.3000000000000000e+001,3.7820000000000000e+001,-1.2229000000000001e+002
8.6100000000000000e+004,9.0110000000000001e-001,5.0000000000000000e+001,7.6000000000000000e+002,1.9000000000000000e+002,3.7700000000000000e+002,1.2200000000000000e+002,3.7810000000000002e+001,-1.2229000000000001e+002
7.6100000000000000e+004,1.1910000000000001e+000,5.2000000000000000e+001,1.2240000000000000e+003,2.3700000000000000e+002,5.2100000000000000e+002,1.5900000000000000e+002,3.7810000000000002e+001,-1.2230000000000000e+002
7.3500000000000000e+004,2.5937999999999999e+000,4.8000000000000000e+001,8.2800000000000000e+002,1.8200000000000000e+002,3.9200000000000000e+002,1.3300000000000000e+002,3.7810000000000002e+001,-1.2230000000000000e+002
7.8400000000000000e+004,1.1667000000000001e+000,5.2000000000000000e+001,1.0100000000000000e+003,2.0900000000000000e+002,6.0400000000000000e+002,1.8700000000000000e+002,3.7810000000000002e+001,-1.2230000000000000e+002
8.4400000000000000e+004,8.0559999999999998e-001,4.8000000000000000e+001,1.4550000000000000e+003,3.5400000000000000e+002,7.8800000000000000e+002,3.3200000000000000e+002,3.7810000000000002e+001,-1.2230000000000000e+002
8.1300000000000000e+004,2.6093999999999999e+000,5.2000000000000000e+001,1.0270000000000000e+003,2.4400000000000000e+002,4.9200000000000000e+002,1.4700000000000000e+002,3.7799999999999997e+001,-1.2229000000000001e+002
8.5000000000000000e+004,1.8515999999999999e+000,5.2000000000000000e+001,5.7200000000000000e+002,1.0900000000000000e+002,2.7400000000000000e+002,8.2000000000000000e+001,3.7810000000000002e+001,-1.2230000000000000e+002
1.2920000000000000e+005,9.8019999999999996e-001,4.6000000000000000e+001,2.8010000000000000e+003,6.4400000000000000e+002,1.8230000000000000e+003,6.1100000000000000e+002,3.7810000000000002e+001,-1.2229000000000001e+002
8.2500000000000000e+004,1.7719000000000000e+000,2.6000000000000000e+001,7.6800000000000000e+002,1.5200000000000000e+002,3.9200000000000000e+002,1.2700000000000000e+002,3.7810000000000002e+001,-1.2229000000000001e+002
9.5200000000000000e+004,7.2860000000000003e-001,4.6000000000000000e+001,9.3500000000000000e+002,2.9700000000000000e+002,5.8200000000000000e+002,2.7700000000000000e+002,3.7810000000000002e+001,-1.2229000000000001e+002
7.5000000000000000e+004,1.7500000000000000e+000,4.9000000000000000e+001,8.4400000000000000e+002,2.0400000000000000e+002,5.6000000000000000e+002,1.5200000000000000e+002,3.7810000000000002e+001,-1.2229000000000001e+002
6.7500000000000000e+004,4.9990000000000001e-001,4.6000000000000000e+001,1.2000000000000000e+001,4.0000000000000000e+000,1.8000000000000000e+001,7.0000000000000000e+000,3.7810000000000002e+001,-1.2229000000000001e+002
1.3750000000000000e+005,2.4830000000000001e+000,2.0000000000000000e+001,8.3500000000000000e+002,1.6100000000000000e+002,2.9000000000000000e+002,1.3300000000000000e+002,3.7810000000000002e+001,-1.2229000000000001e+002
1.7750000000000000e+005,9.2410000000000003e-001,1.7000000000000000e+001,1.2370000000000000e+003,4.6200000000000000e+002,7.6200000000000000e+002,4.3900000000000000e+002,3.7810000000000002e+001,-1.2228000000000000e+002
1.0210000000000000e+005,2.4464000000000001e+000,3.6000000000000000e+001,2.9140000000000000e+003,5.6200000000000000e+002,1.2360000000000000e+003,5.0900000000000000e+002,3.7810000000000002e+001,-1.2228000000000000e+002
1.0830000000000000e+005,1.1111000000000000e+000,1.9000000000000000e+001,1.2070000000000000e+003,2.4300000000000000e+002,7.2100000000000000e+002,2.0700000000000000e+002,3.7810000000000002e+001,-1.2228000000000000e+002
1.1250000000000000e+005,8.0259999999999998e-001,2.3000000000000000e+001,1.7450000000000000e+003,3.7400000000000000e+002,1.0540000000000000e+003,3.2500000000000000e+002,3.7810000000000002e+001,-1.2229000000000001e+002
1.3130000000000000e+005,2.0114000000000001e+000,3.8000000000000000e+001,6.8400000000000000e+002,1.7600000000000000e+002,3.4400000000000000e+002,1.5500000000000000e+002,3.7799999999999997e+001,-1.2228000000000000e+002
1.6250000000000000e+005,1.5000000000000000e+000,1.7000000000000000e+001,9.2400000000000000e+002,2.8900000000000000e+002,6.0900000000000000e+002,2.8900000000000000e+002,3.7810000000000002e+001,-1.2228000000000000e+002
1.1250000000000000e+005,1.1667000000000001e+000,5.2000000000000000e+001,2.1000000000000000e+002,5.6000000000000000e+001,1.8300000000000000e+002,5.6000000000000000e+001,3.7810000000000002e+001,-1.2227000000000000e+002
1.1250000000000000e+005,1.5207999999999999e+000,5.2000000000000000e+001,3.4000000000000000e+002,9.7000000000000000e+001,2.0000000000000000e+002,8.7000000000000000e+001,3.7810000000000002e+001,-1.2228000000000000e+002
1.3750000000000000e+005,8.0750000000000000e-001,5.2000000000000000e+001,3.8600000000000000e+002,1.6400000000000000e+002,3.4600000000000000e+002,1.5500000000000000e+002,3.7810000000000002e+001,-1.2228000000000000e+002
1.1880000000000000e+005,1.8088000000000000e+000,3.5000000000000000e+001,9.4800000000000000e+002,1.8400000000000000e+002,4.6700000000000000e+002,1.6900000000000000e+002,3.7810000000000002e+001,-1.2228000000000000e+002
9.8200000000000000e+004,2.4083000000000001e+000,5.2000000000000000e+001,7.7300000000000000e+002,1.4300000000000000e+002,3.7700000000000000e+002,1.1500000000000000e+002,3.7810000000000002e+001,-1.2228000000000000e+002
1.1880000000000000e+005,9.7699999999999998e-001,4.0000000000000000e+001,8.8000000000000000e+002,4.5100000000000000e+002,5.8200000000000000e+002,3.8000000000000000e+002,3.7810000000000002e+001,-1.2227000000000000e+002
1.6250000000000000e+005,7.6000000000000001e-001,1.0000000000000000e+001,8.7500000000000000e+002,3.4800000000000000e+002,5.4600000000000000e+002,3.3000000000000000e+002,3.7810000000000002e+001,-1.2227000000000000e+002
1.3750000000000000e+005,9.7219999999999995e-001,1.0000000000000000e+001,1.0500000000000000e+002,4.2000000000000000e+001,1.2500000000000000e+002,3.9000000000000000e+001,3.7799999999999997e+001,-1.2227000000000000e+002
5.0000100000000000e+005,1.2434000000000001e+000,5.2000000000000000e+001,2.4900000000000000e+002,7.8000000000000000e+001,3.9600000000000000e+002,8.5000000000000000e+001,3.7799999999999997e+001,-1.2227000000000000e+002
1.6250000000000000e+005,2.0937999999999999e+000,1.6000000000000000e+001,9.9400000000000000e+002,3.9200000000000000e+002,8.0000000000000000e+002,3.6200000000000000e+002,3.7799999999999997e+001,-1.2227000000000000e+002
1.3750000000000000e+005,8.6680000000000001e-001,5.2000000000000000e+001,2.1500000000000000e+002,8.7000000000000000e+001,9.0400000000000000e+002,8.8000000000000000e+001,3.7799999999999997e+001,-1.2228000000000000e+002
1.6250000000000000e+005,7.5000000000000000e-001,5.2000000000000000e+001,9.6000000000000000e+001,3.1000000000000000e+001,1.9100000000000000e+002,3.4000000000000000e+001,3.7799999999999997e+001,-1.2228000000000000e+002
1.8750000000000000e+005,2.6354000000000002e+000,2.7000000000000000e+001,1.0550000000000000e+003,3.4700000000000000e+002,7.1800000000000000e+002,3.0200000000000000e+002,3.7789999999999999e+001,-1.2227000000000000e+002
1.7920000000000000e+005,1.8476999999999999e+000,3.9000000000000000e+001,1.7150000000000000e+003,6.2300000000000000e+002,1.3270000000000000e+003,4.6700000000000000e+002,3.7799999999999997e+001,-1.2227000000000000e+002
1.3000000000000000e+005,2.0095999999999998e+000,3.6000000000000000e+001,5.3290000000000000e+003,2.4770000000000000e+003,3.4690000000000000e+003,2.3230000000000000e+003,3.7799999999999997e+001,-1.2226000000000001e+002
1.8380000000000000e+005,2.8344999999999998e+000,3.1000000000000000e+001,4.5960000000000000e+003,1.3310000000000000e+003,2.0480000000000000e+003,1.1800000000000000e+003,3.7820000000000000e+001,-1.2226000000000001e+002
1.2500000000000000e+005,2.0062000000000002e+000,2.9000000000000000e+001,3.3500000000000000e+002,1.0700000000000000e+002,2.0200000000000000e+002,9.1000000000000000e+001,3.7810000000000002e+001,-1.2226000000000001e+002
1.7000000000000000e+005,1.2184999999999999e+000,2.2000000000000000e+001,3.6820000000000000e+003,1.2700000000000000e+003,2.0240000000000000e+003,1.2500000000000000e+003,3.7820000000000000e+001,-1.2226000000000001e+002
1.9310000000000000e+005,2.6103999999999998e+000,3.7000000000000000e+001,3.6330000000000000e+003,1.0850000000000000e+003,1.8380000000000000e+003,9.8000000000000000e+002,3.7820000000000000e+001,-1.2226000000000001e+002
2.5780000000000000e+005,2.4912000000000001e+000,2.9000000000000000e+001,4.6560000000000000e+003,1.4140000000000000e+003,2.3040000000000000e+003,1.2500000000000000e+003,3.7810000000000002e+001,-1.2225000000000000e+002
2.7340000000000000e+005,3.2176999999999998e+000,2.8000000000000000e+001,5.8060000000000000e+003,1.6030000000000000e+003,2.5630000000000000e+003,1.4970000000000000e+003,3.7810000000000002e+001,-1.2225000000000000e+002
2.3750000000000000e+005,3.1250000000000000e+000,3.9000000000000000e+001,8.5400000000000000e+002,2.4200000000000000e+002,3.8900000000000000e+002,2.2800000000000000e+002,3.7810000000000002e+001,-1.2225000000000000e+002
3.5000000000000000e+005,2.5794999999999999e+000,5.2000000000000000e+001,2.1550000000000000e+003,7.0100000000000000e+002,8.9500000000000000e+002,6.1300000000000000e+002,3.7810000000000002e+001,-1.2225000000000000e+002
3.3570000000000000e+005,2.8405999999999998e+000,3.4000000000000000e+001,5.8710000000000000e+003,1.9140000000000000e+003,2.6890000000000000e+003,1.7890000000000000e+003,3.7810000000000002e+001,-1.2226000000000001e+002
3.1340000000000000e+005,4.9306000000000001e+000,5.2000000000000000e+001,1.5090000000000000e+003,2.2500000000000000e+002,6.7400000000000000e+002,2.4400000000000000e+002,3.7820000000000000e+001,-1.2223999999999999e+002
2.6850000000000000e+005,3.2726999999999999e+000,5.2000000000000000e+001,2.0260000000000000e+003,4.8200000000000000e+002,7.0900000000000000e+002,4.5600000000000000e+002,3.7810000000000002e+001,-1.2223999999999999e+002
2.5940000000000000e+005,3.1690999999999998e+000,5.2000000000000000e+001,1.7580000000000000e+003,4.6000000000000000e+002,6.8600000000000000e+002,4.2200000000000000e+002,3.7810000000000002e+001,-1.2225000000000000e+002
2.7570000000000000e+005,3.8999999999999999e+000,5.2000000000000000e+001,3.4810000000000000e+003,7.5100000000000000e+002,1.4440000000000000e+003,7.1800000000000000e+002,3.7820000000000000e+001,-1.2223999999999999e+002
2.2500000000000000e+005,3.9062999999999999e+000,2.8000000000000000e+001,3.3370000000000000e+003,8.5500000000000000e+002,1.5200000000000000e+003,8.0200000000000000e+002,3.7820000000000000e+001,-1.2225000000000000e+002
2.6250000000000000e+005,5.0917000000000003e+000,5.2000000000000000e+001,1.4240000000000000e+003,2.8900000000000000e+002,5.5000000000000000e+002,2.5300000000000000e+002,3.7820000000000000e+001,-1.2225000000000000e+002
2.1850000000000000e+005,2.6429000000000000e+000,3.2000000000000000e+001,3.8090000000000000e+003,1.0980000000000000e+003,1.8060000000000000e+003,1.0220000000000000e+003,3.7820000000000000e+001,-1.2225000000000000e+002
2.5500000000000000e+005,3.0232999999999999e+000,2.6000000000000000e+001,3.9590000000000000e+003,1.1960000000000000e+003,1.7490000000000000e+003,1.2170000000000000e+003,3.7820000000000000e+001,-1.2225000000000000e+002
2.2410000000000000e+005,3.1484000000000001e+000,5.2000000000000000e+001,2.3760000000000000e+003,5.5900000000000000e+002,9.3900000000000000e+002,5.1900000000000000e+002,3.7829999999999998e+001,-1.2225000000000000e+002
2.4310000000000000e+005,3.4722000000000000e+000,3.5000000000000000e+001,1.6130000000000000e+003,4.2800000000000000e+002,6.7500000000000000e+002,4.2200000000000000e+002,3.7829999999999998e+001,-1.2225000000000000e+002
2.3160000000000000e+005,3.1429000000000000e+000,5.2000000000000000e+001,1.2790000000000000e+003,2.8700000000000000e+002,5.3400000000000000e+002,2.9100000000000000e+002,3.7829999999999998e+001,-1.2225000000000000e+002
2.1850000000000000e+005,2.4234000000000000e+000,2.8000000000000000e+001,5.0220000000000000e+003,1.7500000000000000e+003,2.5580000000000000e+003,1.6610000000000000e+003,3.7829999999999998e+001,-1.2225000000000000e+002
2.3410000000000000e+005,3.0897000000000001e+000,5.2000000000000000e+001,4.1900000000000000e+003,1.1050000000000000e+003,1.7860000000000000e+003,1.0370000000000000e+003,3.7829999999999998e+001,-1.2225000000000000e+002
3.2760000000000000e+005,5.8596000000000004e+000,5.0000000000000000e+001,2.5150000000000000e+003,3.9900000000000000e+002,9.7000000000000000e+002,3.7300000000000000e+002,3.7840000000000003e+001,-1.2223000000000000e+002
3.4760000000000000e+005,5.2868000000000004e+000,4.7000000000000000e+001,3.1750000000000000e+003,4.5400000000000000e+002,1.0980000000000000e+003,4.8500000000000000e+002,3.7840000000000003e+001,-1.2223000000000000e+002
3.6610000000000000e+005,5.9560000000000004e+000,4.1000000000000000e+001,2.5760000000000000e+003,4.0600000000000000e+002,7.9400000000000000e+002,3.7600000000000000e+002,3.7829999999999998e+001,-1.2223999999999999e+002
3.3500000000000000e+005,4.9642999999999997e+000,3.7000000000000000e+001,3.3400000000000000e+002,5.4000000000000000e+001,9.8000000000000000e+001,4.7000000000000000e+001,3.7850000000000001e+001,-1.2223999999999999e+002
3.7360000000000000e+005,6.3433999999999999e+000,5.2000000000000000e+001,2.8000000000000000e+003,4.1100000000000000e+002,1.0610000000000000e+003,4.0300000000000000e+002,3.7850000000000001e+001,-1.2223000000000000e+002
3.8950000000000000e+005,5.1772999999999998e+000,5.2000000000000000e+001,3.5290000000000000e+003,5.7400000000000000e+002,1.1770000000000000e+003,5.5500000000000000e+002,3.7840000000000003e+001,-1.2223999999999999e+002
3.9110000000000000e+005,7.2354000000000003e+000,5.2000000000000000e+001,2.6120000000000000e+003,3.6500000000000000e+002,9.0100000000000000e+002,3.6700000000000000e+002,3.7850000000000001e+001,-1.2223999999999999e+002
3.3730000000000000e+005,5.4569999999999999e+000,2.8000000000000000e+001,5.2870000000000000e+003,1.0480000000000000e+003,2.0310000000000000e+003,9.5600000000000000e+002,3.7850000000000001e+001,-1.2222000000000000e+002
2.9520000000000000e+005,7.5000000000000000e+000,5.0000000000000000e+001,2.9350000000000000e+003,4.7300000000000000e+002,1.0310000000000000e+003,4.7900000000000000e+002,3.7840000000000003e+001,-1.2222000000000000e+002
